EPIWEEK,Week start,Participants with new infection,Proportion_cases_sequenced,Location,Num cases sequenced,Num cases state
2020_23,5/31/20,0,0.002238904,NY,17,7593
2020_24,6/7/20,0,0.002381898,NY,12,5038
2020_25,6/14/20,0,0.003779458,NY,17,4498
2020_26,6/21/20,0,0.00515132,NY,24,4659
2020_27,6/28/20,0,0.010014605,NY,48,4793
2020_28,7/5/20,0,0.009122953,NY,44,4823
2020_29,7/12/20,0,0.004724696,NY,26,5503
2020_30,7/19/20,0,0.00283573,NY,14,4937
2020_31,7/26/20,0,0.005237887,NY,24,4582
2020_32,8/2/20,0,0.012622721,NY,54,4278
2020_33,8/9/20,0,0.009939394,NY,41,4125
2020_34,8/16/20,0,0.019806649,NY,84,4241
2020_35,8/23/20,0,0.020650368,NY,87,4213
2020_36,8/30/20,0,0.024162861,NY,127,5256
2020_37,9/6/20,0,0.026116427,NY,131,5016
2020_38,9/13/20,0,0.012617736,NY,71,5627
2020_39,9/20/20,0,0.018249409,NY,108,5918
2020_40,9/27/20,0,0.018433707,NY,161,8734
2020_41,10/4/20,0,0.019623389,NY,198,10090
2020_42,10/11/20,0,0.014984709,NY,147,9810
2020_43,10/18/20,0,0.031670282,NY,365,11525
2020_44,10/25/20,0,0.016038207,NY,225,14029
2020_45,11/1/20,0,0.011106897,NY,205,18457
2020_46,11/8/20,0,0.011860076,NY,376,31703
2020_47,11/15/20,0,0.008948796,NY,320,35759
2020_48,11/22/20,0,0.004045468,NY,184,45483
2020_49,11/29/20,0,0.006404421,NY,394,61520
2020_50,12/6/20,0,0.009202675,NY,640,69545
2020_51,12/13/20,0,0.008538409,NY,628,73550
2020_52,12/20/20,0,0.01428459,NY,1089,76236
2020_53,12/27/20,0,0.017478409,NY,1532,87651
2021_01,1/3/21,1,0.019243814,NY,2071,107619
2021_02,1/10/21,2,0.014108028,NY,1546,109583
2021_03,1/17/21,0,0.015501085,NY,1464,94445
2021_04,1/24/21,5,0.020659124,NY,1764,85386
2021_05,1/31/21,3,0.029722578,NY,1831,61603
2021_06,2/7/21,5,0.033116151,NY,2028,61239
2021_07,2/14/21,2,0.034084795,NY,1837,53895
2021_08,2/21/21,5,0.039660113,NY,2007,50605
2021_09,2/28/21,6,0.043098542,NY,2196,50953
2021_10,3/7/21,1,0.06115387,NY,2916,47683
2021_11,3/14/21,1,0.053000586,NY,2351,44358
2021_12,3/21/21,1,0.052080015,NY,3270,62788
2021_13,3/28/21,0,0.057961229,NY,3262,56279
2021_14,4/4/21,1,0.066058655,NY,3426,51863
2021_15,4/11/21,0,0.070773778,NY,3065,43307
2021_16,4/18/21,0,0.0563422,NY,1902,33758
2021_17,4/25/21,0,0.068539191,NY,1713,24993
2021_18,5/2/21,0,0.069824192,NY,1259,18031
2021_19,5/9/21,0,0.070670597,NY,959,13570
2021_20,5/16/21,0,0.090943325,NY,966,10622
2021_21,5/23/21,0,0.075917768,NY,517,6810
2021_22,5/30/21,0,0.076388889,NY,330,4320
2021_23,6/6/21,0,0.088951049,NY,318,3575
2021_24,6/13/21,0,0.097851113,NY,255,2606
2021_25,6/20/21,0,0.104757548,NY,229,2186
2021_26,6/27/21,0,0.117161716,NY,284,2424
2021_27,7/4/21,0,0.152013613,NY,536,3526
2021_28,7/11/21,0,0.141879172,NY,829,5843
2021_29,7/18/21,0,0.13868689,NY,1335,9626
2021_30,7/25/21,0,0.119705824,NY,1823,15229
2021_31,8/1/21,0,0.120625826,NY,2737,22690
2021_32,8/8/21,0,0.099267296,NY,2818,28388
2021_33,8/15/21,0,0.090969477,NY,2876,31615
2021_34,8/22/21,0,0.090875545,NY,2709,29810
2021_35,8/29/21,0,0.071915739,NY,2499,34749
2021_36,9/5/21,0,0.07267536,NY,2469,33973
2021_37,9/12/21,0,0.083472119,NY,2907,34826
2021_38,9/19/21,0,0.074398861,NY,2664,35807
2021_39,9/26/21,0,0.067485207,NY,2281,33800
2021_40,10/3/21,0,0.060837053,NY,2099,34502
2021_41,10/10/21,0,0.072364355,NY,2342,32364